rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2006-11,0.028063610044313143,0.0213854335347432,0.03213640685543965,0.03141407305936073,0.015294232277526396,-0.012769377766786747,0,200611,1.71,0.71,0.14,0.15,-0.81,0.42
2006-12,0.008337906158357772,0.006691326283987915,0.005656205479452055,0.014924523308270677,0.018409696696696697,0.010071790538338924,0,200612,0.87,-0.82,2.73,-0.72,2.06,0.4
2007-01,0.018865917037037036,0.014741815088757397,0.01822796515151515,0.01901292319054653,0.03615140483383686,0.017285487796799823,0,200701,1.4,0.08,-0.69,0.25,0.38,0.44
2007-02,0.0013787091988130564,-0.00400085930408472,-0.001303413010590015,-5.705247376311882e-05,-0.0017522537764350459,-0.003130962975248102,0,200702,-1.96,1.28,-0.13,-0.51,-0.71,0.38
2007-03,0.020662757053291538,0.014166534883720931,0.004357357594936709,0.0012271770186335405,-0.017725222929936307,-0.03838797998322785,0,200703,0.68,0.19,-0.96,0.64,-0.65,0.43
2007-04,0.035003303776683085,0.028952601307189543,0.014435689034369887,0.01902842320261438,0.023761078333333335,-0.01124222544334975,0,200704,3.49,-2.03,-1.46,1.15,1.04,0.44
2007-05,0.04763838461538462,0.0372231924959217,0.03258997811447811,0.03347132950819672,0.006264264119601329,-0.04137412049578329,0,200705,3.24,0.4,-0.65,1.58,-1.36,0.41
2007-06,-0.006592217656012177,-0.011430589540412045,-0.009171443932411672,-0.014927059654631083,-0.010450070422535212,-0.0038578527665230353,0,200706,-1.96,0.75,-1.07,0.53,0.08,0.4
2007-07,-0.037273844274809155,-0.0546726512345679,-0.06482786697247706,-0.06784770743034056,-0.074620021875,-0.03734617760019084,0,200707,-3.73,-2.98,-3.72,0.2,-1.13,0.4
2007-08,0.020789711509715994,0.019684516483516483,0.009636456221198155,-0.010356141524105755,-0.06786858970358814,-0.08865830121330413,0,200708,0.92,-0.37,-1.86,-1.21,-0.53,0.42
2007-09,0.0233668632986627,0.017445865834633385,0.020927451515151515,0.01644016408668731,0.007641993846153845,-0.015724869452508856,0,200709,3.22,-2.43,-2.23,-0.52,-3.02,0.32
